case,dataset_mode,model_name,negative_sampling,seed,deletion_rate,objective,score,history,method,label_count,query_count,single_query_count,multi_query_count,label_coverage,full_set_coverage,partial_answer_recall,mean_set_size,single_full_set_coverage,multi_full_set_coverage,single_mean_set_size,multi_mean_set_size,multi_minus_single_full_set_coverage
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,29,0.3,label,minmax,static,label_minmax_static,190310,173509,159915,13594,0.8504335032315695,0.8408612809710159,0.8502107660420775,1925.1473237699486,0.849801457024044,0.7356922171546271,1968.5581340086922,1414.4779314403413,-0.1141092398694169
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,29,0.3,label,negscore,expanding,label_negscore_expanding,190310,173509,159915,13594,0.8679312700331039,0.8591312266222502,0.8661756851117345,3784.4867413217758,0.8643716974642779,0.7974841841989113,3815.317599974987,3421.803442695307,-0.06688751326536657
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,29,0.3,label,negscore,rolling,label_negscore_rolling,190310,173509,159915,13594,0.8984131154432242,0.8915964013394118,0.8979963207367838,4655.629085522941,0.8973767313885501,0.8235986464616742,4715.1973736047275,3954.888848021186,-0.07377808492687588
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,29,0.3,label,negscore,static,label_negscore_static,190310,173509,159915,13594,0.8311596868267563,0.8204358275363237,0.8277066134282475,2081.0484816349585,0.8243942094237564,0.7738708253641312,2061.97185379733,2305.4591731646315,-0.0505233840596252
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,29,0.3,label,softmax,expanding,label_softmax_expanding,190310,173509,159915,13594,0.9343282013556828,0.9335769326086831,0.9392304200495706,6935.772403736982,0.9432761154363255,0.8194791819920553,7000.004058406028,6180.173973811976,-0.12379693344427023
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,29,0.3,label,softmax,rolling,label_softmax_rolling,190310,173509,159915,13594,0.9874625610845462,0.9874531004155404,0.9886586094477329,9625.45027635454,0.9896695119282118,0.9613800205973223,9644.70292342807,9398.968956892746,-0.028289491330889538
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,29,0.3,label,softmax,static,label_softmax_static,190310,173509,159915,13594,0.7995375965529925,0.7972727639488442,0.8111154197231866,2434.2958232714154,0.8203920832942501,0.525305281741945,2554.5839602288715,1019.2687950566426,-0.29508680155230504
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,29,0.3,query_max,margin,expanding,query_max_margin_expanding,190310,173509,159915,13594,0.8455625032841154,0.8441464131543609,0.856525254828945,3139.606810021382,0.8652346559109527,0.5960717963807562,3289.9930838257824,1370.5159629248199,-0.2691628595301965
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,29,0.3,query_max,margin,rolling,query_max_margin_rolling,190310,173509,159915,13594,0.8985760075666018,0.8984433084162781,0.9081698564035214,4479.425049997407,0.9155551386674171,0.6971457996174782,4674.718087734109,2182.0669412976313,-0.21840933904993887
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,29,0.3,query_max,margin,static,query_max_margin_static,190310,173509,159915,13594,0.7978246019652147,0.7954918765020834,0.8093542787476531,2467.6635275403582,0.8185723665697402,0.5239811681624246,2589.1041740924866,1039.0787847579816,-0.2945911984073156
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,43,0.3,label,margin,expanding,label_margin_expanding,190310,173509,159915,13594,0.8477221375650255,0.846843679578581,0.8590698783318476,3211.5069016592797,0.8679048244379827,0.5990878328674415,3364.532507894819,1411.3678828895102,-0.2688169915705412
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,43,0.3,label,margin,rolling,label_margin_rolling,190310,173509,159915,13594,0.9000315275077505,0.8998726290855229,0.9095128863199972,4545.825501847166,0.9168120564049651,0.700603207297337,4745.701603977112,2194.5538472855674,-0.21620884910762805
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,43,0.3,label,margin,static,label_margin_static,190310,173509,159915,13594,0.7964531553780674,0.7951518365041583,0.809062202960358,2489.7962756975144,0.8189600725385361,0.5150801824334265,2612.0699434074354,1051.4121671325586,-0.30387989010510963
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,43,0.3,label,minmax,expanding,label_minmax_expanding,190310,173509,159915,13594,0.8793599915926646,0.8714994611230541,0.8793680500473807,2689.226806678616,0.8791983241096832,0.7809327644549066,2723.792208360692,2282.611666911873,-0.09826555965477668
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,43,0.3,label,minmax,rolling,label_minmax_rolling,190310,173509,159915,13594,0.8991277389522359,0.8923802223515783,0.8994158710880898,3363.877360828545,0.8994403276740769,0.8093276445490658,3404.361992308414,2887.630498749448,-0.09011268312501108
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,43,0.3,label,minmax,static,label_minmax_static,190310,173509,159915,13594,0.8566339130891703,0.8474718890662732,0.8564129213303032,2083.2082716170344,0.8560235124910108,0.7468736207150213,2117.4636025388486,1680.2406944240106,-0.10914989177598955
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,43,0.3,label,negscore,expanding,label_negscore_expanding,190310,173509,159915,13594,0.868677421049866,0.859938101193598,0.8672112175990937,3854.0357041997822,0.8656223618797486,0.7930704722671766,3895.573542194291,3365.399293806091,-0.07255188961257197
