run,dataset_mode,model_name,negative_sampling,seed,method,deletion_rate,coverage_change_vs_delete0,mean_size_change_vs_delete0,mrr_change_vs_delete0
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,29,adaptive,0.3,0.0001734012926,706.1063791,-0.003991663403
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,29,kgcp_minmax_static,0.3,0.001839104619,205.5886764,-0.003991663403
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,29,kgcp_negscore_static,0.3,-0.0003100204929,163.1372025,-0.003991663403
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,29,kgcp_softmax_static,0.3,-0.007892386107,483.312942,-0.003991663403
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,29,rolling_margin,0.3,0.0001471283695,703.8253744,-0.003991663403
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,29,static_margin,0.3,-0.006631285797,487.7990069,-0.003991663403
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,29,top1,0.3,-0.0004361305239,0,-0.003991663403
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,29,weighted,0.3,6.830960013e-05,704.1224896,-0.003991663403
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,43,adaptive,0.3,0.0004781672009,899.1347118,-0.0006572160772
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,43,kgcp_minmax_static,0.3,0.006011244811,297.6664074,-0.0006572160772
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,43,kgcp_negscore_static,0.3,0.0003573117545,146.2511639,-0.0006572160772
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,43,kgcp_softmax_static,0.3,-0.002338290158,551.2781094,-0.0006572160772
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,43,rolling_margin,0.3,8.4073354e-05,885.8320425,-0.0006572160772
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,43,static_margin,0.3,0.0007251326783,581.8344806,-0.0006572160772
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,43,top1,0.3,0.003115968683,0,-0.0006572160772
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,43,weighted,0.3,2.10183385e-05,887.6582366,-0.0006572160772
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,59,adaptive,0.3,0.000294256739,867.4966633,0.0001615724477
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,59,kgcp_minmax_static,0.3,0.004429614839,301.2186117,0.0001615724477
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,59,kgcp_negscore_static,0.3,-0.004870999947,54.458452,0.0001615724477
