run,dataset_mode,model_name,negative_sampling,deletion_rate,method,answer_group,seed_count,query_count_mean,query_count_sd,mean_answer_count_mean,mean_answer_count_sd,full_set_coverage_mean,full_set_coverage_sd,partial_answer_recall_mean,partial_answer_recall_sd,mean_size_mean,mean_size_sd
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.1,kgcp_softmax_static,single,5,30525,0,1,0,0.8593284193,0.005442012395,0.8593284193,0.005442012395,2890.104308,59.33179613
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.1,rolling_margin,multi,5,3439,0,2.34690317,0,0.6361151498,0.002605707103,0.7907749644,0.002274475117,1941.56214,27.20396867
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.1,rolling_margin,single,5,30525,0,1,0,0.9317870598,0.0007096158856,0.9317870598,0.0007096158856,4155.35601,42.75932925
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.1,static_margin,multi,5,3439,0,2.34690317,0,0.4745565571,0.006212812044,0.6756594729,0.003291054535,1131.667403,32.00424305
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.1,static_margin,single,5,30525,0,1,0,0.8592039312,0.005528220341,0.8592039312,0.005528220341,2927.315355,62.06612185
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.2,kgcp_softmax_static,multi,5,3439,0,2.34690317,0,0.4777551614,0.004786879219,0.6775418383,0.00147011689,1153.875778,47.46737565
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.2,kgcp_softmax_static,single,5,30525,0,1,0,0.8617985258,0.007634092864,0.8617985258,0.007634092864,2993.677458,79.57289611
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.2,rolling_margin,multi,5,3439,0,2.34690317,0,0.6349520209,0.002142731425,0.7908888433,0.002195098756,1986.890375,39.06374424
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.2,rolling_margin,single,5,30525,0,1,0,0.931970516,0.001463167369,0.931970516,0.001463167369,4230.244665,40.86778384
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.2,static_margin,multi,5,3439,0,2.34690317,0,0.4730444897,0.00404699469,0.6739460625,0.002812407728,1180.797557,47.57490649
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.2,static_margin,single,5,30525,0,1,0,0.8603636364,0.006894784552,0.8603636364,0.006894784552,3017.602588,78.93124863
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.3,kgcp_softmax_static,multi,5,3439,0,2.34690317,0,0.4687409131,0.006794603923,0.674213574,0.005634857563,1195.824193,42.58688122
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.3,kgcp_softmax_static,single,5,30525,0,1,0,0.8621719902,0.006541900478,0.8621719902,0.006541900478,3083.447325,63.9588879
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.3,rolling_margin,multi,5,3439,0,2.34690317,0,0.6310555394,0.007844116076,0.7901032548,0.004155883964,2045.863565,19.50899235
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.3,rolling_margin,single,5,30525,0,1,0,0.9325733006,0.001557290808,0.9325733006,0.001557290808,4323.858713,22.27419384
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.3,static_margin,multi,5,3439,0,2.34690317,0,0.4671706892,0.006919761164,0.6723728765,0.005544344149,1234.188311,46.03998176
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.3,static_margin,single,5,30525,0,1,0,0.8623882064,0.005948341548,0.8623882064,0.005948341548,3126.502342,60.94618177
icews14_tcomplex_uniform_sensitivity,icews14,continuous_tcomplex,uniform,0,kgcp_softmax_static,multi,5,3439,0,2.34690317,0,0.486013376,0.005422912699,0.6875564616,0.006314454766,1073.022681,105.9948149
icews14_tcomplex_uniform_sensitivity,icews14,continuous_tcomplex,uniform,0,kgcp_softmax_static,single,5,30525,0,1,0,0.8592497952,0.009044397771,0.8592497952,0.009044397771,2818.26398,185.5634175
icews14_tcomplex_uniform_sensitivity,icews14,continuous_tcomplex,uniform,0,rolling_margin,multi,5,3439,0,2.34690317,0,0.6410002908,0.006956322326,0.7988745588,0.00715444325,1837.726083,109.3756415
icews14_tcomplex_uniform_sensitivity,icews14,continuous_tcomplex,uniform,0,rolling_margin,single,5,30525,0,1,0,0.928989353,0.004417481183,0.928989353,0.004417481183,3996.443735,170.7704055
icews14_tcomplex_uniform_sensitivity,icews14,continuous_tcomplex,uniform,0,static_margin,multi,5,3439,0,2.34690317,0,0.4820005816,0.00317605523,0.6839764358,0.00674273875,1103.820238,106.2455579
icews14_tcomplex_uniform_sensitivity,icews14,continuous_tcomplex,uniform,0,static_margin,single,5,30525,0,1,0,0.8585356265,0.008654057326,0.8585356265,0.008654057326,2851.530175,188.7197761
icews14_tcomplex_uniform_sensitivity,icews14,continuous_tcomplex,uniform,0.3,kgcp_softmax_static,multi,5,3439,0,2.34690317,0,0.4713579529,0.008579307061,0.6773645046,0.005200734278,1186.566851,53.10662256
icews14_tcomplex_uniform_sensitivity,icews14,continuous_tcomplex,uniform,0.3,kgcp_softmax_static,single,5,30525,0,1,0,0.861988534,0.00564858399,0.861988534,0.00564858399,3066.437694,82.13160419
icews14_tcomplex_uniform_sensitivity,icews14,continuous_tcomplex,uniform,0.3,rolling_margin,multi,5,3439,0,2.34690317,0,0.6311136958,0.005352288626,0.7910410668,0.003102926408,2022.686479,26.64981389
icews14_tcomplex_uniform_sensitivity,icews14,continuous_tcomplex,uniform,0.3,rolling_margin,single,5,30525,0,1,0,0.9318001638,0.001812550768,0.9318001638,0.001812550768,4293.643715,28.30999228
icews14_tcomplex_uniform_sensitivity,icews14,continuous_tcomplex,uniform,0.3,static_margin,multi,5,3439,0,2.34690317,0,0.4709508578,0.007914405739,0.6759949204,0.004870819681,1226.163245,58.23760883
icews14_tcomplex_uniform_sensitivity,icews14,continuous_tcomplex,uniform,0.3,static_margin,single,5,30525,0,1,0,0.8623292383,0.005944325773,0.8623292383,0.005944325773,3113.669766,77.5227939
