run,dataset_mode,model_name,negative_sampling,seed,deletion_rate,method,timestamp_count,query_count,timestamp_macro_coverage,coverage,mean_size,mrr,frequency_mrr
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0,rolling_margin,73,38596,0.8998963702,0.8993937196,3707.642165,0.3175682212,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0,static_margin,73,38596,0.8324020136,0.8353974505,2804.576407,0.3175682212,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0,top1,73,38596,0.2327461078,0.2300238367,1,0.3175682212,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0,weighted,73,38596,0.8987637382,0.8983832522,3692.271194,0.3175682212,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.1,adaptive,73,38596,0.8986693638,0.8982796145,3740.603482,0.3172248939,0.0918321554
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.1,kgcp_minmax_static,73,38596,0.9013303219,0.9008446471,2053.627733,0.3172248939,0.0918321554
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.1,kgcp_negscore_static,73,38596,0.8972540224,0.8969841434,2737.845398,0.3172248939,0.0918321554
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.1,kgcp_softmax_static,73,38596,0.8226344741,0.8257073272,2608.291999,0.3172248939,0.0918321554
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.1,rolling_margin,73,38596,0.8993249958,0.8989532594,3751.742046,0.3172248939,0.0918321554
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.1,static_margin,73,38596,0.8210266408,0.8243082185,2643.452689,0.3172248939,0.0918321554
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.1,top1,73,38596,0.2319440419,0.2285210903,1,0.3172248939,0.0918321554
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.1,weighted,73,38596,0.8984956115,0.8980723391,3735.689035,0.3172248939,0.0918321554
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.2,adaptive,73,38596,0.8994825108,0.8989014406,3818.108172,0.3173788549,0.09191674573
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.2,kgcp_minmax_static,73,38596,0.9089989728,0.9079697378,2200.102316,0.3173788549,0.09191674573
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.2,kgcp_negscore_static,73,38596,0.9063515008,0.9059228936,2991.956861,0.3173788549,0.09191674573
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.2,kgcp_softmax_static,73,38596,0.8231453241,0.8265364286,2691.852705,0.3173788549,0.09191674573
