run,dataset_mode,model_name,negative_sampling,seed,deletion_rate,method,multi_query_count,full_set_coverage_multi_minus_single,partial_recall_multi_minus_single,mean_size_multi_minus_single
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,0.3,rolling_margin,13594,-0.2112352942,-0.0890065809,-2473.768251
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,0.3,static_margin,13594,-0.2915372974,-0.1179908077,-1565.267569
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0,kgcp_softmax_static,13594,-0.2615424749,-0.09268489603,-1253.02403
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0,rolling_margin,13594,-0.1846659333,-0.07141738562,-2204.811334
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0,static_margin,13594,-0.2662573735,-0.09415335186,-1255.407897
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0.1,kgcp_softmax_static,13594,-0.2581328205,-0.08713161378,-1328.211093
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0.1,rolling_margin,13594,-0.1791417447,-0.06736414244,-2223.765752
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0.1,static_margin,13594,-0.2598502139,-0.08870310953,-1332.848551
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0.2,kgcp_softmax_static,13594,-0.299541218,-0.1216588959,-1446.469653
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0.2,rolling_margin,13594,-0.2076689654,-0.08549036808,-2401.862211
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0.2,static_margin,13594,-0.3004936582,-0.1221791044,-1463.606604
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0.3,kgcp_softmax_static,13594,-0.2585159798,-0.08785849963,-1343.965846
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0.3,rolling_margin,13594,-0.1881310723,-0.07190443672,-2294.41533
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0.3,static_margin,13594,-0.2610377784,-0.08787922668,-1354.134241
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0,kgcp_softmax_static,13594,-0.2583671526,-0.08814792288,-1236.282938
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0,rolling_margin,13594,-0.1808586809,-0.06881894151,-2166.834476
