dataset_mode,model_name,seed,deletion_rate,method,filtered_run,uniform_run,coverage_filtered_minus_uniform,mean_size_filtered_minus_uniform,mrr_filtered_minus_uniform
icews14,continuous_tcomplex,17,0.3,weighted,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,2.590942067e-05,23.59669396,-0.0001912874559
icews14,continuous_tcomplex,29,0,adaptive,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.0004404601513,25.3256296,0.0002828607257
icews14,continuous_tcomplex,29,0,kgcp_minmax_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.0003627318893,-11.10659136,0.0002828607257
icews14,continuous_tcomplex,29,0,kgcp_negscore_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.0001036376827,-3.145300031,0.0002828607257
icews14,continuous_tcomplex,29,0,kgcp_softmax_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.0004922789926,15.04433102,0.0002828607257
icews14,continuous_tcomplex,29,0,rolling_margin,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.0003368224686,24.44214426,0.0002828607257
icews14,continuous_tcomplex,29,0,static_margin,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.0001036376827,18.96636957,0.0002828607257
icews14,continuous_tcomplex,29,0,top1,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.00038864131,0,0.0002828607257
icews14,continuous_tcomplex,29,0,weighted,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.000544097834,23.62884755,0.0002828607257
icews14,continuous_tcomplex,29,0.3,adaptive,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.000466369572,34.48878122,-0.0006977920567
icews14,continuous_tcomplex,29,0.3,kgcp_minmax_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.001191833351,-1.577909628,-0.0006977920567
icews14,continuous_tcomplex,29,0.3,kgcp_negscore_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.001528655819,-23.45924448,-0.0006977920567
icews14,continuous_tcomplex,29,0.3,kgcp_softmax_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.003135039901,81.58684838,-0.0006977920567
icews14,continuous_tcomplex,29,0.3,rolling_margin,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-2.590942067e-05,40.37436522,-0.0006977920567
icews14,continuous_tcomplex,29,0.3,static_margin,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.002202300757,64.98517981,-0.0006977920567
icews14,continuous_tcomplex,29,0.3,top1,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.0004145507306,0,-0.0006977920567
icews14,continuous_tcomplex,29,0.3,weighted,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.0002072753653,38.11273189,-0.0006977920567
icews14,continuous_tcomplex,43,0,adaptive,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.000233184786,23.32283138,0.001306862975
icews14,continuous_tcomplex,43,0,kgcp_minmax_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.001425018137,38.31422945,0.001306862975
icews14,continuous_tcomplex,43,0,kgcp_negscore_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.0002850036273,-111.3660224,0.001306862975
icews14,continuous_tcomplex,43,0,kgcp_softmax_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.00468960514,-59.09485439,0.001306862975
icews14,continuous_tcomplex,43,0,rolling_margin,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.0005181884133,29.63050575,0.001306862975
icews14,continuous_tcomplex,43,0,static_margin,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.003290496424,-57.28834594,0.001306862975
icews14,continuous_tcomplex,43,0,top1,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.0003368224686,0,0.001306862975
icews14,continuous_tcomplex,43,0,weighted,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.0001036376827,18.94564204,0.001306862975
icews14,continuous_tcomplex,43,0.3,adaptive,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.0005181884133,25.38379625,-2.128198173e-05
icews14,continuous_tcomplex,43,0.3,kgcp_minmax_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.00116592393,11.6130428,-2.128198173e-05
icews14,continuous_tcomplex,43,0.3,kgcp_negscore_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.0009845579853,-25.80119702,-2.128198173e-05
icews14,continuous_tcomplex,43,0.3,kgcp_softmax_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.001217742771,35.7241424,-2.128198173e-05
icews14,continuous_tcomplex,43,0.3,rolling_margin,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.0006477355166,27.45390714,-2.128198173e-05
icews14,continuous_tcomplex,43,0.3,static_margin,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.0001813659447,22.61760286,-2.128198173e-05
icews14,continuous_tcomplex,43,0.3,top1,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.0002850036273,0,-2.128198173e-05
icews14,continuous_tcomplex,43,0.3,weighted,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.000233184786,28.69644523,-2.128198173e-05
icews14,continuous_tcomplex,59,0,adaptive,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.000699554358,104.8993419,-0.0001158866477
icews14,continuous_tcomplex,59,0,kgcp_minmax_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.0009586485646,114.2578246,-0.0001158866477
icews14,continuous_tcomplex,59,0,kgcp_negscore_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.0002590942067,121.4283086,-0.0001158866477
icews14,continuous_tcomplex,59,0,kgcp_softmax_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.001373199295,50.59270391,-0.0001158866477
icews14,continuous_tcomplex,59,0,rolling_margin,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.000855010882,101.385584,-0.0001158866477
icews14,continuous_tcomplex,59,0,static_margin,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.0002072753653,25.71383045,-0.0001158866477
icews14,continuous_tcomplex,59,0,top1,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.000155456524,0,-0.0001158866477
icews14,continuous_tcomplex,59,0,weighted,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.0008809203026,99.16493937,-0.0001158866477
icews14,continuous_tcomplex,59,0.3,adaptive,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.0004145507306,13.15646699,0.000789992563
icews14,continuous_tcomplex,59,0.3,kgcp_minmax_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.001269561613,-24.26419836,0.000789992563
icews14,continuous_tcomplex,59,0.3,kgcp_negscore_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.0002072753653,-3.636439009,0.000789992563
icews14,continuous_tcomplex,59,0.3,kgcp_softmax_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.001606384081,27.50310913,0.000789992563
icews14,continuous_tcomplex,59,0.3,rolling_margin,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.000155456524,15.72258783,0.000789992563
icews14,continuous_tcomplex,59,0.3,static_margin,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.001243652192,28.32658825,0.000789992563
icews14,continuous_tcomplex,59,0.3,top1,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.0009068297233,0,0.000789992563
icews14,continuous_tcomplex,59,0.3,weighted,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.00038864131,10.12231837,0.000789992563
icews14,continuous_tcomplex,71,0,adaptive,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.0003368224686,94.02976992,0.001143538449
