case,dataset_mode,model_name,deletion_rate,family,comparison,metric,left_method,right_method,observed,ci95_low,ci95_high,pvalue_positive,pvalue_negative,block_length,iterations,seed_count,timestamp_count,excluded_timestamp_count,weighting
icews05_15_distmult,icews05_15,temporal_distmult,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,mean_set_size,query_max_margin_rolling,label_margin_rolling,-39.4058337,-73.63157108,-5.239733014,0.9882505875,0.01179941003,7,20000,5,804,0,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,mean_set_size,query_max_margin_rolling,label_margin_rolling,-39.4058337,-77.14714877,-2.209955606,0.9807509625,0.01929903505,14,20000,5,804,0,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,mean_set_size,query_max_margin_rolling,label_margin_rolling,-39.4058337,-79.67996377,-0.58141603,0.9766011699,0.02344882756,21,20000,5,804,0,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,multi_minus_single_full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.001785127773,-0.003866142795,0.0001976842899,0.9625018749,0.03754812259,3,20000,5,802,0,timestamp_macro
icews05_15_distmult,icews05_15,temporal_distmult,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,multi_minus_single_full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.001785127773,-0.004017348058,0.0003027588265,0.9522023899,0.04784760762,7,20000,5,802,0,timestamp_macro
icews05_15_distmult,icews05_15,temporal_distmult,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,multi_minus_single_full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.001785127773,-0.004063507633,0.0004130970335,0.9443527824,0.05569721514,14,20000,5,802,0,timestamp_macro
icews05_15_distmult,icews05_15,temporal_distmult,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,multi_minus_single_full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.001785127773,-0.004148353074,0.0004370250792,0.9408529574,0.05919704015,21,20000,5,802,0,timestamp_macro
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.007042751148,-0.009369038871,-0.004828432452,1,4.999750012e-05,3,20000,5,73,0,query_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.007042751148,-0.009287467535,-0.004881644196,1,4.999750012e-05,7,20000,5,73,0,query_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.007042751148,-0.009079391476,-0.004921369697,1,4.999750012e-05,14,20000,5,73,0,query_count
