seed,deletion_rate,method,query_count,coverage,mean_size,median_size,p90_size,mrr,frequency_mrr,hits_at_1,hits_at_3,hits_at_10
59,0.2,static,38596,0.8147735516633848,2553.8327287801844,503.98030884029436,7128.0,0.31354578494208185,0.09266353402003914,0.23085293812830346,0.3473157840190693,0.47815835837910664
71,0.2,static,38596,0.8169499429992745,2528.651155560162,480.3061716240025,7128.0,0.3125774644257874,0.09272035791368033,0.23095657581096488,0.3463830448751166,0.4721732822054099
17,0.2,top1,38596,0.22694061560783502,1.0,1.0,1.0,0.31538914368557935,0.09265476793033643,0.2350502642760908,0.34703078039175045,0.4710591771167997
29,0.2,top1,38596,0.22639651777386258,1.0,1.0,1.0,0.3146627688498959,0.09273853014598757,0.2341952533941341,0.3503730956575811,0.47080008291014613
43,0.2,top1,38596,0.22662970255985077,1.0,1.0,1.0,0.3166257612085357,0.09179766623392144,0.23502435485542544,0.349414447092963,0.4778992641724531
59,0.2,top1,38596,0.223131930770028,1.0,1.0,1.0,0.31354578494208185,0.09266353402003914,0.23085293812830346,0.3473157840190693,0.47815835837910664
71,0.2,top1,38596,0.2231837496113587,1.0,1.0,1.0,0.3125774644257874,0.09272035791368033,0.23095657581096488,0.3463830448751166,0.4721732822054099
17,0.2,weighted,38596,0.8978132448958441,3719.1013058348017,4282.429448647528,7128.0,0.31538914368557935,0.09265476793033643,0.2350502642760908,0.34703078039175045,0.4710591771167997
29,0.2,weighted,38596,0.8982277956264898,3823.8598300342005,4846.554617058762,7128.0,0.3146627688498959,0.09273853014598757,0.2341952533941341,0.3503730956575811,0.47080008291014613
43,0.2,weighted,38596,0.8974246035858638,3583.699062078972,3365.3622396103224,7128.0,0.3166257612085357,0.09179766623392144,0.23502435485542544,0.349414447092963,0.4778992641724531
59,0.2,weighted,38596,0.8964659550212457,3623.144393201368,3727.4521193906103,7128.0,0.31354578494208185,0.09266353402003914,0.23085293812830346,0.3473157840190693,0.47815835837910664
71,0.2,weighted,38596,0.8970359622758836,3580.7465540470516,3349.742978547,7128.0,0.3125774644257874,0.09272035791368033,0.23095657581096488,0.3463830448751166,0.4721732822054099
17,0.3,adaptive,38596,0.8986682557778009,3881.0341745258575,5154.92369675614,7128.0,0.31175703182177184,0.09268656233228131,0.23258886931288217,0.3432480049746088,0.4677427712716344
29,0.3,adaptive,38596,0.8997564514457457,3839.1100632189864,4715.84386983107,7128.0,0.30932731339329245,0.09271801233755797,0.23046429681832314,0.3423929940926521,0.45999585449269353
43,0.3,adaptive,38596,0.8987200746191315,3711.0481137941756,4138.8428593636645,7128.0,0.3119289072972572,0.09191666194170207,0.23321069540885067,0.34480257021453,0.46561819877707533
59,0.3,adaptive,38596,0.8991864441911079,3814.8825007772825,4699.1580992849,7128.0,0.31047939767459154,0.09267181305785606,0.23030884029433102,0.34247072235464815,0.4693491553528863
71,0.3,adaptive,38596,0.898098248523163,3690.6061249870454,4138.25194320655,7128.0,0.30909861656721305,0.09270410537751758,0.22826199606176806,0.3400093273914395,0.4677427712716344
17,0.3,rolling,38596,0.9000155456523992,3898.6212042698726,5232.74805679345,7128.0,0.31175703182177184,0.09268656233228131,0.23258886931288217,0.3432480049746088,0.4677427712716344
29,0.3,rolling,38596,0.9003005492797181,3849.6731526583067,4769.507746916779,7128.0,0.30932731339329245,0.09271801233755797,0.23046429681832314,0.3423929940926521,0.45999585449269353
43,0.3,rolling,38596,0.8994455383977614,3724.0698777075345,4208.1594206653535,7128.0,0.3119289072972572,0.09191666194170207,0.23321069540885067,0.34480257021453,0.46561819877707533
59,0.3,rolling,38596,0.8999637268110685,3829.6720903720593,4793.362161882061,7128.0,0.31047939767459154,0.09267181305785606,0.23030884029433102,0.34247072235464815,0.4693491553528863
71,0.3,rolling,38596,0.8991864441911079,3710.557985283449,4264.992797181055,7128.0,0.30909861656721305,0.09270410537751758,0.22826199606176806,0.3400093273914395,0.4677427712716344
17,0.3,static,38596,0.8222872836563374,2749.8764638822677,773.8930200020727,7128.0,0.31175703182177184,0.09268656233228131,0.23258886931288217,0.3432480049746088,0.4677427712716344
29,0.3,static,38596,0.832651051922479,2926.770675717691,1046.2561664421185,7128.0,0.30932731339329245,0.09271801233755797,0.23046429681832314,0.3423929940926521,0.45999585449269353
43,0.3,static,38596,0.8242563996269043,2718.3878381179397,639.4982899782361,7128.0,0.3119289072972572,0.09191666194170207,0.23321069540885067,0.34480257021453,0.46561819877707533
59,0.3,static,38596,0.8187895118665147,2712.5912529795833,670.1324489584413,7128.0,0.31047939767459154,0.09267181305785606,0.23030884029433102,0.34247072235464815,0.4693491553528863
71,0.3,static,38596,0.8194372473831485,2635.305497979065,611.7065499015442,7128.0,0.30909861656721305,0.09270410537751758,0.22826199606176806,0.3400093273914395,0.4677427712716344
17,0.3,top1,38596,0.22476422427194528,1.0,1.0,1.0,0.31175703182177184,0.09268656233228131,0.23258886931288217,0.3432480049746088,0.4677427712716344
29,0.3,top1,38596,0.2222769198880713,1.0,1.0,1.0,0.30932731339329245,0.09271801233755797,0.23046429681832314,0.3423929940926521,0.45999585449269353
43,0.3,top1,38596,0.2254119597885791,1.0,1.0,1.0,0.3119289072972572,0.09191666194170207,0.23321069540885067,0.34480257021453,0.46561819877707533
59,0.3,top1,38596,0.22266556119805161,1.0,1.0,1.0,0.31047939767459154,0.09267181305785606,0.23030884029433102,0.34247072235464815,0.4693491553528863
71,0.3,top1,38596,0.2212146336407918,1.0,1.0,1.0,0.30909861656721305,0.09270410537751758,0.22826199606176806,0.3400093273914395,0.4677427712716344
17,0.3,weighted,38596,0.8985905275158047,3879.8633796248314,5153.052440667427,7128.0,0.31175703182177184,0.09268656233228131,0.23258886931288217,0.3432480049746088,0.4677427712716344
29,0.3,weighted,38596,0.8995750855010882,3835.7608042284173,4695.564773551663,7128.0,0.30932731339329245,0.09271801233755797,0.23046429681832314,0.3423929940926521,0.45999585449269353
43,0.3,weighted,38596,0.8987200746191315,3710.9727951083014,4137.589309773033,7128.0,0.3119289072972572,0.09191666194170207,0.23321069540885067,0.34480257021453,0.46561819877707533
59,0.3,weighted,38596,0.8990828065084465,3813.399341900715,4695.55101564929,7128.0,0.31047939767459154,0.09267181305785606,0.23030884029433102,0.34247072235464815,0.4693491553528863
71,0.3,weighted,38596,0.898098248523163,3690.6061249870454,4138.25194320655,7128.0,0.30909861656721305,0.09270410537751758,0.22826199606176806,0.3400093273914395,0.4677427712716344
