deletion_rate,method,cap_label,cap_size,cap_rank,seed_count,query_count_mean,query_count_sd,label_count_mean,label_count_sd,answered_count_mean,answered_count_sd,answer_rate_mean,answer_rate_sd,abstention_rate_mean,abstention_rate_sd,label_answer_rate_mean,label_answer_rate_sd,conditional_full_set_coverage_mean,conditional_full_set_coverage_sd,unconditional_full_set_recall_mean,unconditional_full_set_recall_sd,conditional_partial_answer_recall_mean,conditional_partial_answer_recall_sd,unconditional_partial_answer_recall_mean,unconditional_partial_answer_recall_sd,conditional_label_recall_mean,conditional_label_recall_sd,unconditional_label_recall_mean,unconditional_label_recall_sd,candidate_load_mean,candidate_load_sd,mean_answered_set_size_mean,mean_answered_set_size_sd,median_answered_set_size_mean,median_answered_set_size_sd,p90_answered_set_size_mean,p90_answered_set_size_sd,top1_accuracy_on_answered_mean,top1_accuracy_on_answered_sd,full_vocabulary_answered_rate_mean,full_vocabulary_answered_rate_sd,candidate_load_saved_vs_uncapped_mean,candidate_load_saved_vs_uncapped_sd,candidate_load_reduction_vs_uncapped_mean,candidate_load_reduction_vs_uncapped_sd,unconditional_full_set_recall_loss_vs_uncapped_mean,unconditional_full_set_recall_loss_vs_uncapped_sd,conditional_full_set_coverage_delta_vs_uncapped_mean,conditional_full_set_coverage_delta_vs_uncapped_sd
0,weighted,1000,1000,1000,5,33964,0,38596,0,14115,797.4719431,0.4155870922,0.02347991824,0.5844129078,0.02347991824,0.453844958,0.02299985124,0.7745459204,0.01063100677,0.3220880933,0.02269631108,0.8105080282,0.008064140236,0.3369875041,0.02246306251,0.793049346,0.01454277177,0.3601875842,0.02499353712,82.59334001,12.36926251,197.929355,18.21141099,94.8,29.26943799,582.04,28.54834496,0.3582079222,0.007595975909,0,0,3658.484219,207.1223868,0.9777314918,0.004601073391,0.5748145095,0.02654177714,-0.1223566823,0.01446218805
0,weighted,2000,2000,2000,5,33964,0,38596,0,15761.8,910.9800766,0.4640737251,0.02682193136,0.5359262749,0.02682193136,0.5011141051,0.02618228685,0.7868352192,0.008382891346,0.3653279943,0.02506321477,0.8199777871,0.006220898303,0.3806629644,0.02491995496,0.8031881139,0.01232726944,0.4027463986,0.02733000314,152.5131669,17.24689628,327.8251324,18.37332869,122.8,31.23619695,1026.1,25.0031998,0.3413974224,0.007142691312,0,0,3588.564392,211.8046784,0.9589470482,0.006892574122,0.5315746084,0.0288516216,-0.1100673835,0.01215337965
0,weighted,3000,3000,3000,5,33964,0,38596,0,16181.6,1066.991706,0.4764338712,0.03141537233,0.5235661288,0.03141537233,0.5129443466,0.030712996,0.789233032,0.008215664261,0.376221882,0.02885449389,0.8217589018,0.006004163409,0.3916623559,0.02874563098,0.8050834883,0.01213734886,0.4132604415,0.0311875034,180.8489989,29.33978942,377.8302182,34.99102805,130.6,33.39610756,1201.8,80.05123359,0.3377345784,0.008018571535,0,0,3560.22856,223.166036,0.9512218039,0.01080250893,0.5206807208,0.03272681472,-0.1076695707,0.01202921564
0,weighted,4000,4000,4000,5,33964,0,38596,0,16458.4,991.5933138,0.4845836768,0.02919542203,0.5154163232,0.02919542203,0.5209607213,0.0283667633,0.7920479372,0.007338169718,0.3839830409,0.02675523029,0.8241185115,0.005379399746,0.3994765121,0.02665732632,0.8075066339,0.01127730396,0.4209348119,0.02894459539,211.1781946,20.16664206,435.0802519,15.4248179,136.6,31.4690324,1339.88,31.92063596,0.3353638963,0.00768407755,0,0,3529.899364,214.8753689,0.9431943938,0.008593700165,0.5129195619,0.03059416405,-0.1048546656,0.01110589594
0,weighted,5000,5000,5000,5,33964,0,38596,0,17276.4,1002.347644,0.5086680014,0.02951206113,0.4913319986,0.02951206113,0.5439320137,0.0283742913,0.8001047708,0.006227367954,0.40713108,0.02677870075,0.8308074551,0.004483926971,0.4227040471,0.0266847509,0.8141730773,0.01002682054,0.4430821847,0.02868380229,319.6147921,22.9111765,627.9828804,12.67776748,154.6,29.82951558,1828.06,36.57592104,0.3286072212,0.00805492048,0,0,3421.462766,217.0641362,0.9141214028,0.01074950959,0.4897715228,0.03058662033,-0.096797832,0.009897797304
0,weighted,inf,inf,1000000000000,5,33964,0,38596,0,33964,0,1,0,0,0,1,0,0.8969026028,0.003943079111,0.8969026028,0.003943079111,0.9125954027,0.004042293386,0.9125954027,0.004042293386,0.8977251529,0.0008531638221,0.8977251529,0.0008531638221,3741.077559,194.8054112,3741.077559,194.8054112,4475,1578.058617,7128,0,0.2588505476,0.00275803505,0.2984689671,0.04187132498,0,0,0,0,0,0,0,0
0,adaptive,1,1,1,5,33964,0,38596,0,457.4,90.96867593,0.01346720057,0.002678385229,0.9865327994,0.002678385229,0.01635920821,0.00472712392,0.4975742054,0.06321379498,0.006583441291,0.0007557148617,0.5675445535,0.05063970297,0.007551656002,0.001045409812,0.4921313261,0.07065982502,0.007803917504,0.001387956807,0.01346720057,0.002678385229,1,0,1,0,1,0,0.661255895,0.02547911793,0,0,3745.064345,193.9977668,0.9999964149,6.428704795e-07,0.8905134849,0.003535029239,-0.3995227208,0.06673630453
0,adaptive,10,10,10,5,33964,0,38596,0,2427.6,505.0933577,0.07147568013,0.01487143321,0.9285243199,0.01487143321,0.08127267074,0.01983228985,0.6646465113,0.04138135859,0.04703215169,0.007709261397,0.7192191929,0.03430914617,0.05101453648,0.008871352086,0.6712826476,0.04916963986,0.05380868484,0.01044564892,0.3001589919,0.06768263452,4.189650328,0.1484350743,3.4,0.5477225575,8.8,0.4472135955,0.648868523,0.02535403073,0,0,3744.777653,193.9322216,0.9999204441,1.454107447e-05,0.8500647745,0.004189886515,-0.2324504149,0.04515016385
0,adaptive,50,50,50,5,33964,0,38596,0,5335.6,744.6870484,0.1570957484,0.02192577577,0.8429042516,0.02192577577,0.1730542025,0.0290012908,0.7116270829,0.03399673923,0.1112059828,0.01130557124,0.7556880915,0.02689526866,0.1182557891,0.01321094942,0.7257166801,0.03774691115,0.1247383149,0.01609437655,2.634554234,0.2464868306,16.88218964,1.052532649,12.8,1.923538406,40,1,0.521119165,0.02300480689,0,0,3742.443258,193.7921514,0.9992973981,4.206971589e-05,0.7858909434,0.007783885795,-0.1854698433,0.03776398452
0,adaptive,100,100,100,5,33964,0,38596,0,7190.8,529.52592,0.21171829,0.01559079967,0.78828171,0.01559079967,0.2322675925,0.0221642911,0.7333667701,0.02665482701,0.1549464138,0.00665959332,0.7744531591,0.02042471282,0.1637230626,0.008435436222,0.7502312038,0.03063151799,0.1737382112,0.01090984451,6.648410081,0.2923062038,31.63019939,3.93903562,22.6,5.458937626,77.8,4.711687596,0.4727396233,0.008903018278,0,0,3738.429402,194.2562095,0.9982178693,0.0001710622282,0.7421505123,0.003734938722,-0.163730156,0.03042115936
0,adaptive,250,250,250,5,33964,0,38596,0,10108.6,176.0292589,0.2976268991,0.005182818836,0.7023731009,0.005182818836,0.3251891388,0.003556250858,0.757633933,0.01964585883,0.2255682487,0.009692394797,0.7952938125,0.01595791947,0.2367637191,0.008819544512,0.7751296188,0.02467471585,0.2521297544,0.01071838318,20.87304204,3.797967755,69.98811294,11.46700157,45.7,16.59668642,181.8,11.86170308,0.4168509155,0.001631252127,0,0,3724.20477,197.5873052,0.9943726765,0.001358076959,0.6715286774,0.01350335834,-0.1394629932,0.02342452136
