seed,deletion_rate,method,query_count,label_count,cap_size,cap_label,cap_rank,answered_count,answer_rate,abstention_rate,answered_label_count,label_answer_rate,conditional_full_set_coverage,unconditional_full_set_recall,conditional_partial_answer_recall,unconditional_partial_answer_recall,conditional_label_recall,unconditional_label_recall,candidate_load,mean_answered_set_size,top1_accuracy_on_answered,full_vocabulary_answered_rate,median_answered_set_size,p90_answered_set_size,candidate_load_saved_vs_uncapped,candidate_load_reduction_vs_uncapped,unconditional_full_set_recall_loss_vs_uncapped,conditional_full_set_coverage_delta_vs_uncapped
29,0,adaptive,33964,38596,500,500,500,11641,0.3427452597,0.6572547403,14528,0.3764120634,0.7529421871,0.2580673654,0.7911990392,0.2711797202,0.7652120044,0.2880350295,36.74337534,107.2031612,0.3877673739,0,51,314,3905.862943,0.9906804351,0.6425627135,-0.1476878918
29,0,adaptive,33964,38596,1000,1000,1000,13246,0.3900011777,0.6099988223,16527,0.4282049953,0.7658160954,0.2986691791,0.8026349075,0.3130285592,0.7789677497,0.3335578816,70.84315746,181.6485732,0.3663747546,0,72,561,3871.763161,0.9820313895,0.6019608998,-0.1348139835
29,0,adaptive,33964,38596,2000,2000,2000,14797,0.435667177,0.564332823,18250,0.4728469271,0.7796850713,0.339683194,0.8134623224,0.3543988336,0.7910684932,0.3740543061,136.5719585,313.477732,0.3494627289,0,97,1031,3806.03436,0.9653599808,0.5609468849,-0.1209450076
29,0,adaptive,33964,38596,3000,3000,3000,15173,0.4467377223,0.5532622777,18662,0.4835216085,0.7827061227,0.3496643505,0.815712251,0.3644094331,0.7936448398,0.3837444295,161.727064,362.0179266,0.3458775456,0,106,1187,3780.879255,0.9589796569,0.5509657284,-0.1179239562
29,0,adaptive,33964,38596,4000,4000,4000,15446,0.4547756448,0.5452243552,18984,0.4918644419,0.7853813285,0.3571723001,0.8179551546,0.3719860828,0.7961967973,0.3916208934,191.8280238,421.8080409,0.3441667746,0,112,1338.5,3750.778295,0.9513448698,0.5434577788,-0.1152487504
29,0,adaptive,33964,38596,5000,5000,5000,16245,0.4783005535,0.5216994465,19867,0.5147424604,0.7941520468,0.3798433636,0.8253699795,0.3947749181,0.8037952383,0.4137475386,297.1316688,621.2237612,0.3388734995,0,132,1843.6,3645.47465,0.9246357245,0.5207867153,-0.1064780321
29,0,adaptive,33964,38596,inf,inf,1000000000000,33964,1,0,38596,1,0.9006300789,0.9006300789,0.9156450551,0.9156450551,0.8982018862,0.8982018862,3942.606318,3942.606318,0.2615416323,0.3418619715,5940.5,7128,0,0,0,0
29,0,rolling,33964,38596,1,1,1,488,0.01436815452,0.9856318455,729,0.01888796767,0.4405737705,0.00633023201,0.5173383424,0.007433197242,0.4211248285,0.007954192144,0.01436815452,1,0.6290983607,0,1,1,3953.896596,0.9999963661,0.8949181486,-0.4606746101
29,0,rolling,33964,38596,10,10,10,2835,0.08347073372,0.9165292663,3830,0.09923308115,0.6211640212,0.05184901661,0.681707539,0.05690262846,0.6203655352,0.0615607835,0.3684783889,4.414462081,0.6201058201,0,4,9,3953.542486,0.9999068066,0.849399364,-0.2800843595
29,0,rolling,33964,38596,50,50,50,5764,0.1697091038,0.8302908962,7353,0.1905119702,0.6832061069,0.1159462961,0.7317695081,0.1241879474,0.6911464708,0.1316716758,2.689818631,15.84958362,0.507980569,0,11,39,3951.221146,0.9993197068,0.7853020846,-0.2180422738
29,0,rolling,33964,38596,100,100,100,7433,0.2188493699,0.7811506301,9397,0.243470826,0.7102112202,0.1554292781,0.7557469479,0.1653947434,0.7215068639,0.1756658721,6.285832057,28.72218485,0.4673752186,0,18,75,3947.625132,0.9984102242,0.7458191026,-0.1910371604
29,0,rolling,33964,38596,250,250,250,9862,0.2903662702,0.7096337298,12340,0.319722251,0.7427499493,0.2156695324,0.7825187991,0.227217065,0.7535656402,0.2409317028,18.25674243,62.87487325,0.4192861489,0,35,177,3935.654222,0.9953826116,0.6855788482,-0.1584984313
