seed,deletion_rate,method,timestamp_count,label_row_count,unique_query_count,observed_label_coverage,full_set_coverage,macro_time_full_set_coverage,partial_answer_recall,positive_label_undercoverage,positive_full_set_undercoverage,fraction_timestamps_label_below_target,fraction_timestamps_full_set_below_target,mean_size,median_size,p90_size,full_vocabulary_set_rate,pool_score_count_mean,pool_span_blocks_mean
71,0.2,aps_rolling,73,38596,33964,0.8980982485,0.9030444,0.9024612695,0.9145620106,0.009501058895,0.007298649829,0.5205479452,0.397260274,4837.915911,6801.704481,7126.98416,0,1000,2.424657534
17,0.3,margin_rolling,73,38596,33964,0.9000155457,0.9023966553,0.9025316877,0.9181652099,0.007768850243,0.006411150938,0.4931506849,0.4109589041,4169.369097,6109.797491,7128,0.3693027912,1000,2.424657534
17,0.3,rank_rolling,73,38596,33964,0.8977355166,0.8861441526,0.8886960265,0.8909894791,0.01117382637,0.01864083706,0.4931506849,0.6164383562,3417.782858,3417.782858,3417.782858,0,1000,2.424657534
17,0.3,adaptive_mass_rolling,73,38596,33964,0.8970100529,0.885496408,0.8875952108,0.8915062026,0.01220099884,0.0194364731,0.4520547945,0.6164383562,3041.038953,2619.696826,4504.261971,0,1000,2.424657534
17,0.3,aps_rolling,73,38596,33964,0.8972173282,0.9042515605,0.9041858808,0.9158506416,0.01011667128,0.006774688728,0.5205479452,0.397260274,4949.820133,6937.344953,7126.980627,0,1000,2.424657534
29,0.3,margin_rolling,73,38596,33964,0.9003005493,0.9037510305,0.9035109283,0.918234062,0.008698907958,0.006423849436,0.4931506849,0.397260274,4116.356024,5852.830438,7128,0.4054292781,1000,2.424657534
29,0.3,rank_rolling,73,38596,33964,0.8991087159,0.8881757155,0.8899669852,0.8925022853,0.009820848305,0.01651873717,0.4657534247,0.5890410959,3911.425922,3911.425922,3911.425922,0,1000,2.424657534
29,0.3,adaptive_mass_rolling,73,38596,33964,0.8990050782,0.8878812861,0.8893638977,0.8935146317,0.0102051334,0.01752255316,0.4931506849,0.6301369863,3614.478772,3202.420916,4748.674049,0,1000,2.424657534
29,0.3,aps_rolling,73,38596,33964,0.8986682558,0.9067836533,0.9061520373,0.9183624982,0.01026140316,0.006047803262,0.4931506849,0.3698630137,4998.658197,6962.116005,7126.816718,0,1000,2.424657534
43,0.3,margin_rolling,73,38596,33964,0.8994455384,0.9001589919,0.8994875146,0.9161910635,0.009288066923,0.008722866321,0.4931506849,0.5205479452,3989.688935,5532.100253,7128,0.3588799906,1000,2.424657534
43,0.3,rank_rolling,73,38596,33964,0.899238263,0.8881757155,0.8899855632,0.8925234562,0.009861799252,0.01646652606,0.4794520548,0.602739726,3763.329908,3763.329908,3763.329908,0,1000,2.424657534
43,0.3,adaptive_mass_rolling,73,38596,33964,0.8981759768,0.8866446826,0.8880818454,0.8925288541,0.01090341669,0.01853106771,0.5342465753,0.6438356164,3464.486868,3097.287628,4750.485237,0,1000,2.424657534
43,0.3,aps_rolling,73,38596,33964,0.8985646181,0.9032799435,0.902896578,0.9166711298,0.01010117338,0.007508357416,0.4931506849,0.4520547945,4852.453686,6881.745613,7126.958703,0,1000,2.424657534
59,0.3,margin_rolling,73,38596,33964,0.8999637268,0.9028677423,0.9020632818,0.9184318788,0.009133244942,0.007853625594,0.4931506849,0.4383561644,4098.307796,5837.325727,7128,0.3631197739,1000,2.424657534
59,0.3,rank_rolling,73,38596,33964,0.8984091616,0.8872629843,0.8884690344,0.8915627752,0.01124079978,0.01831673934,0.5205479452,0.602739726,3581.564951,3581.564951,3581.564951,0,1000,2.424657534
59,0.3,adaptive_mass_rolling,73,38596,33964,0.8984609804,0.8872040985,0.8880819074,0.8931850811,0.01093220153,0.01812416261,0.4931506849,0.6575342466,3202.324137,2810.405576,4590.86226,0,1000,2.424657534
59,0.3,aps_rolling,73,38596,33964,0.8984868898,0.9061064657,0.9047957161,0.9179514888,0.01004413379,0.006480037333,0.5205479452,0.3698630137,4869.196532,6892.316806,7126.980627,0,1000,2.424657534
71,0.3,margin_rolling,73,38596,33964,0.8991864442,0.9007184077,0.9006920065,0.9160296243,0.00761912323,0.006880829133,0.6164383562,0.5479452055,3973.455512,5399.043222,7128,0.3268166294,1000,2.424657534
71,0.3,rank_rolling,73,38596,33964,0.9014146544,0.8905017077,0.8923106875,0.8952634021,0.007658249632,0.01420190081,0.4794520548,0.6712328767,3666.700742,3666.700742,3666.700742,0,1000,2.424657534
71,0.3,adaptive_mass_rolling,73,38596,33964,0.900896466,0.8899717348,0.8913997054,0.8961098867,0.007930175789,0.01450759366,0.4657534247,0.7123287671,3272.497851,2893.43602,4638.178448,0,1000,2.424657534
71,0.3,aps_rolling,73,38596,33964,0.8963364079,0.9022788835,0.901614873,0.9144323448,0.009796099855,0.006780320022,0.5753424658,0.4931506849,4888.933783,6856.795342,7126.964786,0,1000,2.424657534
