seed,deletion_rate,method,timestamp_count,label_row_count,unique_query_count,observed_label_coverage,full_set_coverage,macro_time_full_set_coverage,partial_answer_recall,positive_label_undercoverage,positive_full_set_undercoverage,fraction_timestamps_label_below_target,fraction_timestamps_full_set_below_target,mean_size,median_size,p90_size,full_vocabulary_set_rate,pool_score_count_mean,pool_span_blocks_mean
17,0.2,rank_expanding,73,38596,33964,0.9018551145,0.890855023,0.8932321715,0.8953597226,0.007501652283,0.01388146719,0.4520547945,0.6438356164,3557.988164,3557.988164,3557.988164,0,31419.61644,58
17,0.2,rank_rolling,73,38596,33964,0.8986682558,0.8873218702,0.8899900781,0.8921470072,0.009957556344,0.01726308737,0.4657534247,0.6438356164,3462.361471,3462.361471,3462.361471,0,1000,2.424657534
29,0.2,margin_static,73,38596,33964,0.8264068815,0.8310858556,0.8278384268,0.8499386489,0.07706113576,0.07223466396,1,0.9863013699,3029.187169,1507.457131,7128,0.2525320928,31419.61644,58
29,0.2,margin_rolling,73,38596,33964,0.8996009949,0.9032799435,0.903348088,0.9179024433,0.008586639189,0.006342113606,0.5205479452,0.4246575342,4108.186933,5937.889913,7128,0.3727770581,1000,2.424657534
29,0.2,rank_static,73,38596,33964,0.9058451653,0.8954186786,0.8964801948,0.8994159082,0.006755190801,0.01235174841,0.3835616438,0.5479452055,3619,3619,3619,0,31419.61644,58
29,0.2,rank_expanding,73,38596,33964,0.9039537776,0.893298787,0.8942801188,0.8973441066,0.007279764727,0.01332775838,0.4109589041,0.5890410959,3558.831086,3558.831086,3558.831086,0,31419.61644,58
29,0.2,rank_rolling,73,38596,33964,0.8993678101,0.888411259,0.8902753999,0.8927421752,0.009440209767,0.01648000282,0.4794520548,0.6301369863,3404.5782,3404.5782,3404.5782,0,1000,2.424657534
43,0.2,margin_static,73,38596,33964,0.8092548451,0.8102991403,0.8065790043,0.8313841173,0.09501399109,0.09342099569,1,1,2623.985014,589.0720174,7127.987175,0.1999764456,31419.61644,58
43,0.2,margin_rolling,73,38596,33964,0.8983573427,0.8983040867,0.8979771495,0.9143335206,0.007834249232,0.007949289998,0.5753424658,0.5479452055,3861.156901,4832.955953,7128,0.3068248734,1000,2.424657534
43,0.2,rank_static,73,38596,33964,0.9003782775,0.8892651042,0.8903368627,0.8942209819,0.008478325368,0.01490059719,0.4109589041,0.698630137,3618,3618,3618,0,31419.61644,58
43,0.2,rank_expanding,73,38596,33964,0.9007928283,0.8897656342,0.8909176254,0.8946371088,0.008277023871,0.01461755596,0.4109589041,0.698630137,3632.982953,3632.982953,3632.982953,0,31419.61644,58
43,0.2,rank_rolling,73,38596,33964,0.8986423464,0.8871452126,0.8884040695,0.8922469029,0.01068171067,0.01801077537,0.4931506849,0.6712328767,3610.322371,3610.322371,3610.322371,0,1000,2.424657534
59,0.2,margin_static,73,38596,33964,0.8147735517,0.816276057,0.8118412533,0.836808126,0.09010747819,0.08830257056,0.9863013699,0.9863013699,2756.801201,853.5819397,7128,0.2128135673,31419.61644,58
59,0.2,margin_rolling,73,38596,33964,0.8971136905,0.8984513014,0.8981314087,0.9143981816,0.009612032028,0.009574486298,0.5890410959,0.5753424658,3891.553586,5030.187787,7128,0.3187492639,1000,2.424657534
59,0.2,rank_static,73,38596,33964,0.9064151726,0.8963019668,0.8978217826,0.9004346689,0.006125464582,0.01121466911,0.3698630137,0.5068493151,3698,3698,3698,0,31419.61644,58
59,0.2,rank_expanding,73,38596,33964,0.9035910457,0.8931221293,0.8945809163,0.8974334519,0.007813602758,0.01349260067,0.4657534247,0.5479452055,3590.369774,3590.369774,3590.369774,0,31419.61644,58
59,0.2,rank_rolling,73,38596,33964,0.8998600891,0.888882346,0.8905594945,0.893717753,0.01041917961,0.01705555704,0.5068493151,0.5753424658,3476.768431,3476.768431,3476.768431,0,1000,2.424657534
71,0.2,margin_static,73,38596,33964,0.816949943,0.8178365328,0.8144997556,0.8379159166,0.08657686018,0.08552617982,1,0.9863013699,2735.510128,845.6833412,7128,0.2083971264,31419.61644,58
71,0.2,margin_rolling,73,38596,33964,0.8978650637,0.898156872,0.8986659089,0.9135215298,0.008434121715,0.008133347655,0.5616438356,0.5342465753,3856.618184,4798.470292,7128,0.3084147921,1000,2.424657534
71,0.2,rank_static,73,38596,33964,0.908228832,0.8980391002,0.9001110848,0.9027797173,0.005590502841,0.009403882818,0.301369863,0.4520547945,3844,3844,3844,0,31419.61644,58
71,0.2,rank_expanding,73,38596,33964,0.9047569696,0.8941820751,0.8965977743,0.8991972125,0.006924156319,0.01155311385,0.301369863,0.5479452055,3725.304352,3725.304352,3725.304352,0,31419.61644,58
71,0.2,rank_rolling,73,38596,33964,0.8988755311,0.8875868567,0.8903428497,0.892894741,0.01012453885,0.01693159984,0.4657534247,0.6164383562,3560.022671,3560.022671,3560.022671,0,1000,2.424657534
17,0.3,margin_static,73,38596,33964,0.8222872837,0.8261099988,0.8228756308,0.8455349198,0.08128995657,0.07719745996,1,0.9863013699,2964.537245,1387.851048,7128,0.2389294547,31419.61644,58
17,0.3,margin_rolling,73,38596,33964,0.9000155457,0.9023966553,0.9025316877,0.9181652099,0.007768850243,0.006411150938,0.4931506849,0.4109589041,4169.369097,6109.797491,7128,0.3693027912,1000,2.424657534
