seed,deletion_rate,extra_delay_blocks,method,query_count,coverage,macro_time_coverage,positive_undercoverage,fraction_timestamps_below_target,mean_size,median_size,p90_size,pool_score_count_mean,pool_span_blocks_mean
71,0.2,1,static,38596,0.816949943,0.8134231398,0.08657686018,1,2528.651078,480.3061716,7128,30895.75342,58
71,0.2,1,rolling,38596,0.8963364079,0.8974786343,0.009689050313,0.5890410959,3568.8953,3299.194295,7128,1000,3.424657534
17,0.2,3,static,38596,0.8194631568,0.8154095522,0.08479446994,0.9863013699,2613.015701,541.6492642,7128,29867.09589,58
17,0.2,3,rolling,38596,0.8926054513,0.8938816864,0.01279278489,0.6301369863,3634.951368,3734.068194,7128,1000,5.342465753
29,0.2,3,static,38596,0.8264068815,0.8229388642,0.07706113576,1,2811.526246,880.3482226,7128,29867.09589,58
29,0.2,3,rolling,38596,0.8924759042,0.8936130384,0.012515736,0.6301369863,3733.1275,4273.223339,7128,1000,5.342465753
43,0.2,3,static,38596,0.8092548451,0.8049860089,0.09501399109,1,2425.68476,360.8506063,7127.975723,29867.09589,58
43,0.2,3,rolling,38596,0.8926572702,0.8935376634,0.01273215911,0.6301369863,3497.201549,2879.456887,7128,1000,5.342465753
59,0.2,3,static,38596,0.8147735517,0.8099716324,0.09010747819,0.9863013699,2553.83006,503.9803088,7128,29867.09589,58
59,0.2,3,rolling,38596,0.8915949839,0.892576145,0.01358414623,0.6164383562,3532.936366,3022.106617,7128,1000,5.342465753
71,0.2,3,static,38596,0.816949943,0.8134231398,0.08657686018,1,2528.651078,480.3061716,7128,29867.09589,58
71,0.2,3,rolling,38596,0.8930977303,0.8942247571,0.01190943779,0.6301369863,3517.528578,2996.745077,7128,1000,5.342465753
17,0.2,7,static,38596,0.8194631568,0.8154095522,0.08479446994,0.9863013699,2613.015701,541.6492642,7128,27862.76712,58
17,0.2,7,rolling,38596,0.8881231216,0.8886353944,0.01620959171,0.7397260274,3552.859312,3205.862291,7128,1000,9.02739726
29,0.2,7,static,38596,0.8264068815,0.8229388642,0.07706113576,1,2811.526246,880.3482226,7128,27862.76712,58
29,0.2,7,rolling,38596,0.8873976578,0.8869096506,0.0178674524,0.6712328767,3645.802285,3744.225542,7128,1000,9.02739726
43,0.2,7,static,38596,0.8092548451,0.8049860089,0.09501399109,1,2425.68476,360.8506063,7127.975723,27862.76712,58
43,0.2,7,rolling,38596,0.8875012955,0.8874475545,0.01687094438,0.698630137,3396.850736,2349.056198,7128,1000,9.02739726
59,0.2,7,static,38596,0.8147735517,0.8099716324,0.09010747819,0.9863013699,2553.83006,503.9803088,7128,27862.76712,58
59,0.2,7,rolling,38596,0.8859467302,0.8853182937,0.01900178728,0.6849315068,3457.782465,2707.849052,7128,1000,9.02739726
71,0.2,7,static,38596,0.816949943,0.8134231398,0.08657686018,1,2528.651078,480.3061716,7128,27862.76712,58
71,0.2,7,rolling,38596,0.8887708571,0.8900318934,0.01531349969,0.6438356164,3432.337807,2500.110763,7128,1000,9.02739726
17,0.3,0,static,38596,0.8222872837,0.8187100434,0.08128995657,1,2749.87636,773.89302,7128,31419.61644,58
17,0.3,0,rolling,38596,0.9000155457,0.9001761446,0.007768850243,0.4931506849,3898.62123,5232.748057,7128,1000,2.424657534
29,0.3,0,static,38596,0.8326510519,0.8290745303,0.0710670361,0.9863013699,2926.770702,1046.256166,7128,31419.61644,58
29,0.3,0,rolling,38596,0.9003005493,0.9000476268,0.008698907958,0.4931506849,3849.672894,4769.516038,7128,1000,2.424657534
43,0.3,0,static,38596,0.8242563996,0.8202162492,0.07978375078,1,2718.38846,639.49829,7128,31419.61644,58
43,0.3,0,rolling,38596,0.8994455384,0.8988832505,0.009288066923,0.4931506849,3724.069541,4208.159421,7128,1000,2.424657534
59,0.3,0,static,38596,0.8187895119,0.813782159,0.08621784097,1,2712.591668,670.132449,7128,31419.61644,58
59,0.3,0,rolling,38596,0.8999637268,0.8991300265,0.009133244942,0.4931506849,3829.671831,4793.362162,7128,1000,2.424657534
71,0.3,0,static,38596,0.8194372474,0.8146341759,0.08546575331,0.9863013699,2635.305343,611.7065499,7128,31419.61644,58
71,0.3,0,rolling,38596,0.8991864442,0.8994643797,0.00761912323,0.6164383562,3710.558218,4264.992797,7128,1000,2.424657534
17,0.3,1,static,38596,0.8222872837,0.8187100434,0.08128995657,1,2749.87636,773.89302,7128,30895.75342,58
17,0.3,1,rolling,38596,0.8971914188,0.8979399651,0.00968581403,0.5342465753,3856.907866,5004.194295,7128,1000,3.424657534
29,0.3,1,static,38596,0.8326510519,0.8290745303,0.0710670361,0.9863013699,2926.770702,1046.256166,7128,30895.75342,58
29,0.3,1,rolling,38596,0.8977873355,0.8979639593,0.009899450383,0.4794520548,3817.209063,4552.615401,7128,1000,3.424657534
43,0.3,1,static,38596,0.8242563996,0.8202162492,0.07978375078,1,2718.38846,639.49829,7128,30895.75342,58
43,0.3,1,rolling,38596,0.897631879,0.8973791378,0.01017723039,0.5205479452,3693.128744,3989.534226,7128,1000,3.424657534
