seed,deletion_rate,method,query_count,label_count,multi_answer_query_count,multi_answer_query_fraction,mean_answer_count,max_answer_count,full_set_coverage,partial_answer_recall,label_weighted_partial_recall,mean_size,median_size,p90_size,singleton_rate,multi_answer_full_set_coverage,multi_answer_partial_recall,multi_answer_mean_answer_count,full_vocabulary_set_rate,normalized_mean_size,normalized_p90_size
43,0.3,rolling,33964,38596,3439,0.1012542692,1.136379696,17,0.9001589919,0.9161910635,0.8994455384,3989.689318,6209.5,7128,0.006300789071,0.6464088398,0.8047436121,2.34690317,0.3588799906,0.5597207236,1
43,0.3,weighted,33964,38596,3439,0.1012542692,1.136379696,17,0.8994818043,0.9156046583,0.8987200746,3975.967731,6155,7128,0.00638911789,0.6437917999,0.8030231507,2.34690317,0.3571428571,0.5577956973,1
43,0.3,adaptive,33964,38596,3439,0.1012542692,1.136379696,17,0.8994818043,0.9156046583,0.8987200746,3976.051996,6155,7128,0.00638911789,0.6437917999,0.8030231507,2.34690317,0.3571134142,0.5578075191,1
43,0.3,top1,33964,38596,3439,0.1012542692,1.136379696,17,0.2206159463,0.236674698,0.2254119598,1,1,1,1,0,0.1585982682,2.34690317,0,0.000140291807,0.000140291807
59,0,static,33964,38596,3439,0.1012542692,1.136379696,17,0.8195147804,0.8397009298,0.8188931495,2614.759098,336,7128,0.04001295489,0.4984006979,0.6977616694,2.34690317,0.1964727358,0.3668292786,1
59,0,rolling,33964,38596,3439,0.1012542692,1.136379696,17,0.8990696031,0.9148469177,0.8990309877,3741.091479,4587,7128,0.01687080438,0.6536783949,0.8094971545,2.34690317,0.2967259451,0.5248444836,1
59,0,weighted,33964,38596,3439,0.1012542692,1.136379696,17,0.8980685432,0.9139071973,0.8980464297,3722.696355,4488,7128,0.01713579084,0.6519337017,0.8083582575,2.34690317,0.294841597,0.5222637984,1
59,0,adaptive,33964,38596,3439,0.1012542692,1.136379696,17,0.898127429,0.9139660831,0.8980982485,3724.199358,4494.5,7128,0.01707690496,0.6519337017,0.8083582575,2.34690317,0.2950476976,0.5224746574,1
59,0,top1,33964,38596,3439,0.1012542692,1.136379696,17,0.2232952538,0.2391420164,0.2274847134,1,1,1,1,0,0.1565046364,2.34690317,0,0.000140291807,0.000140291807
59,0.1,static,33964,38596,3439,0.1012542692,1.136379696,17,0.814332823,0.8351522788,0.817260856,2533.157373,286,7128,0.03465433989,0.5018900843,0.7075056697,2.34690317,0.1879048404,0.3553812251,1
59,0.1,rolling,33964,38596,3439,0.1012542692,1.136379696,17,0.8942998469,0.9107509396,0.8976577884,3610.121364,3831,7128,0.01283712166,0.6545507415,0.8170238183,2.34690317,0.2785890943,0.5064704495,1
59,0.1,weighted,33964,38596,3439,0.1012542692,1.136379696,17,0.8930043576,0.9096090442,0.8964141362,3590.709045,3639.5,7128,0.01310210811,0.651061355,0.8150513457,2.34690317,0.2768814038,0.5037470602,1
59,0.1,adaptive,33964,38596,3439,0.1012542692,1.136379696,17,0.8930043576,0.9096090442,0.8964141362,3590.709045,3639.5,7128,0.01310210811,0.651061355,0.8150513457,2.34690317,0.2768814038,0.5037470602,1
59,0.1,top1,33964,38596,3439,0.1012542692,1.136379696,17,0.2219114356,0.2376878156,0.2262151518,1,1,1,1,0,0.1558095284,2.34690317,0,0.000140291807,0.000140291807
59,0.2,static,33964,38596,3439,0.1012542692,1.136379696,17,0.816276057,0.836808126,0.8147735517,2756.804087,403,7128,0.0409845719,0.4850247165,0.6878020327,2.34690317,0.2128135673,0.3867570268,1
59,0.2,rolling,33964,38596,3439,0.1012542692,1.136379696,17,0.8984513014,0.9143981816,0.8971136905,3891.553351,5512.5,7128,0.01651748911,0.6429194533,0.8004128646,2.34690317,0.3187492639,0.5459530514,1
59,0.2,weighted,33964,38596,3439,0.1012542692,1.136379696,17,0.8977741138,0.9137995085,0.896465955,3879.401454,5457.5,7128,0.0168119185,0.6408839779,0.7991528084,2.34690317,0.3172771169,0.54424824,1
