target_coverage,selection_tolerance,seed,deletion_rate,method,timestamp_count,label_row_count,unique_query_count,observed_label_coverage,full_set_coverage,macro_time_full_set_coverage,partial_answer_recall,positive_label_undercoverage,positive_full_set_undercoverage,fraction_timestamps_label_below_target,fraction_timestamps_full_set_below_target,mean_size,median_size,p90_size,full_vocabulary_set_rate,pool_score_count_mean,pool_span_blocks_mean
0.88,0.01,29,0.2,rank_rolling,73,38596,33964,0.8790807338,0.8658579673,0.8678602415,0.8718082451,0.01067899907,0.01921452042,0.4931506849,0.6438356164,2660.421917,2660.421917,2660.421917,0,1000,2.424657534
0.88,0.01,29,0.2,adaptive_mass_rolling,73,38596,33964,0.8797802881,0.8670062419,0.8688441273,0.8751463034,0.009848998246,0.01814790537,0.4931506849,0.6575342466,2301.226505,1804.62737,4089.178289,0,1000,2.424657534
0.88,0.01,43,0.2,margin_rolling,73,38596,33964,0.8780702663,0.8779590154,0.8778288214,0.8960453658,0.008810274205,0.009121203849,0.4657534247,0.4931506849,3500.410817,2981.141179,7128,0.2737015664,1000,2.424657534
0.88,0.01,43,0.2,rank_rolling,73,38596,33964,0.8790030055,0.8654163232,0.866880217,0.8720946128,0.01219079912,0.02043529234,0.4794520548,0.6438356164,2831.796726,2831.796726,2831.796726,0,1000,2.424657534
0.88,0.01,43,0.2,adaptive_mass_rolling,73,38596,33964,0.879158462,0.8652985514,0.8668082388,0.8742682378,0.01211189245,0.02092769263,0.4657534247,0.6301369863,2467.450359,2009.926864,4169.163667,0,1000,2.424657534
0.88,0.01,59,0.2,margin_rolling,73,38596,33964,0.8786143642,0.8804322224,0.8801788165,0.8975899085,0.009628651239,0.008790804782,0.4931506849,0.4931506849,3571.224974,3442.92654,7128,0.2837121658,1000,2.424657534
0.88,0.01,59,0.2,rank_rolling,73,38596,33964,0.8800912012,0.8670945707,0.868940241,0.8732980929,0.0110496815,0.01913395665,0.5068493151,0.6301369863,2715.152838,2715.152838,2715.152838,0,1000,2.424657534
0.88,0.01,59,0.2,adaptive_mass_rolling,73,38596,33964,0.8807907555,0.8678600872,0.8695565341,0.8758368922,0.01076560184,0.01917727845,0.5205479452,0.6575342466,2389.140708,1919.857614,4126.185756,0,1000,2.424657534
0.88,0.01,71,0.2,margin_rolling,73,38596,33964,0.8791325526,0.8793428336,0.8797826051,0.8963972007,0.008050877892,0.008327495515,0.5342465753,0.5068493151,3498.746702,2988.610676,7128,0.2736721234,1000,2.424657534
0.88,0.01,71,0.2,rank_rolling,73,38596,33964,0.8797025599,0.8666529266,0.8696140026,0.8733028482,0.01045650837,0.01862344116,0.5068493151,0.6301369863,2834.000471,2834.000471,2834.000471,0,1000,2.424657534
0.88,0.01,71,0.2,adaptive_mass_rolling,73,38596,33964,0.8809980309,0.867918973,0.8708902481,0.8765756412,0.008702772455,0.01663365917,0.4794520548,0.6438356164,2475.65805,2021.763249,4166.84006,0,1000,2.424657534
0.88,0.01,17,0.3,margin_rolling,73,38596,33964,0.8789770961,0.8821987987,0.882304324,0.8993997757,0.008678373164,0.006797335054,0.4931506849,0.397260274,3818.680986,4761.765104,7128,0.3244317513,1000,2.424657534
0.88,0.01,17,0.3,rank_rolling,73,38596,33964,0.8775002591,0.8640619479,0.8669607896,0.8701355357,0.01309791242,0.02133043611,0.4657534247,0.6301369863,2677.723884,2677.723884,2677.723884,0,1000,2.424657534
0.88,0.01,17,0.3,adaptive_mass_rolling,73,38596,33964,0.8784329982,0.8650924508,0.867596412,0.8728243771,0.01156324441,0.01991604043,0.4520547945,0.6712328767,2316.5,1802.977977,4100.775704,0,1000,2.424657534
0.88,0.01,29,0.3,margin_rolling,73,38596,33964,0.8805057519,0.8844364621,0.8838678904,0.9003231741,0.00961019526,0.007190326967,0.5342465753,0.4520547945,3786.111648,4571.506801,7128,0.3617948416,1000,2.424657534
0.88,0.01,29,0.3,rank_rolling,73,38596,33964,0.8792620997,0.866005182,0.8676111246,0.8719785936,0.01009268931,0.01894583129,0.5205479452,0.6712328767,3062.500265,3062.500265,3062.500265,0,1000,2.424657534
0.88,0.01,29,0.3,adaptive_mass_rolling,73,38596,33964,0.8793916468,0.8663879402,0.8681253075,0.8743377675,0.01010604633,0.01861355785,0.4520547945,0.6849315068,2690.112148,2138.143711,4215.481363,0,1000,2.424657534
0.88,0.01,43,0.3,margin_rolling,73,38596,33964,0.88014302,0.8817865976,0.8813882833,0.8991334717,0.009050949349,0.00789594368,0.4657534247,0.4657534247,3689.517401,4141.131345,7128,0.321134142,1000,2.424657534
0.88,0.01,43,0.3,rank_rolling,73,38596,33964,0.8785625453,0.8652985514,0.8675271645,0.8712761692,0.01084455272,0.01931078176,0.5205479452,0.6575342466,3064.062066,3064.062066,3064.062066,0,1000,2.424657534
0.88,0.01,43,0.3,adaptive_mass_rolling,73,38596,33964,0.8795989222,0.8663879402,0.8683523015,0.8741743359,0.01056957506,0.01874953645,0.4931506849,0.6575342466,2694.494318,2227.21352,4322.066788,0,1000,2.424657534
0.88,0.01,59,0.3,margin_rolling,73,38596,33964,0.8791843714,0.8822871275,0.8815587724,0.8991758458,0.01024968897,0.00872329089,0.5068493151,0.4657534247,3770.726828,4487.402986,7128,0.3232834766,1000,2.424657534
