seed,deletion_rate,method,prediction_side,base_relation_id,relation_label,label_count,query_count,label_coverage,mean_size,median_size,p90_size,mrr,top1_accuracy,unique_query_count,positive_undercoverage,full_vocabulary_set_rate,normalized_mean_size,query_full_set_coverage,query_partial_answer_recall,multi_answer_query_fraction,max_answer_count
17,0,static,object,160,36,61,61,0.9508196721,3983.836066,6665,7128,0.5337211619,0.4426229508,58,0,0.3278688525,0.5588995603,0.9482758621,0.9482758621,0.05172413793,2
17,0,static,object,161,37,45,45,0.9555555556,3951.688889,6933,7128,0.2827819601,0.2222222222,44,0,0.3111111111,0.5543895748,0.9545454545,0.9545454545,0.02272727273,2
17,0,static,object,162,38,47,47,0.914893617,4172.914894,6310,7128,0.3331609394,0.2340425532,45,0,0.4042553191,0.5854257707,0.9111111111,0.9111111111,0.02222222222,3
17,0,static,object,163,39,45,45,1,3398.622222,1843,7128,0.5546561339,0.5111111111,43,0,0.2666666667,0.4767988527,1,1,0.04651162791,2
17,0,static,object,164,4,942,942,0.9288747346,3414.570064,1510.5,7128,0.1936936037,0.1220806794,866,0,0.2876857749,0.4790362042,0.9307159353,0.935334873,0.07505773672,3
17,0,static,object,165,40,48,48,0.9583333333,3929.645833,5394,7128,0.3817380988,0.2916666667,48,0,0.3333333333,0.5512971147,0.9583333333,0.9583333333,0,1
17,0,static,object,166,41,43,43,1,2923.395349,305,7128,0.5045226757,0.4186046512,42,0,0.3488372093,0.4101284159,1,1,0.02380952381,2
17,0,static,object,167,42,42,42,0.9047619048,3372.595238,1316,7128,0.4899322649,0.4285714286,41,0,0.3333333333,0.4731474801,0.9024390244,0.9024390244,0.0243902439,2
17,0,static,object,168,43,43,43,0.976744186,5203,7128,7128,0.308471136,0.2093023256,41,0,0.5813953488,0.7299382716,0.9756097561,0.9756097561,0.0243902439,3
17,0,static,object,169,44,43,43,1,3805.837209,5084,7128,0.5466732374,0.3953488372,42,0,0.3255813953,0.5339277791,1,1,0.02380952381,2
17,0,static,object,170,45,27,27,0.962962963,4523.814815,7053,7128,0.2636595682,0.2222222222,27,0,0.4814814815,0.6346541547,0.962962963,0.962962963,0,1
17,0,static,object,171,46,21,21,1,4268.428571,6842,7128,0.4609424015,0.4285714286,20,0,0.380952381,0.5988255572,1,1,0.05,2
17,0,static,object,172,47,70,70,0.9857142857,6322.214286,7125,7128,0.2513896394,0.1428571429,40,0,0.4428571429,0.8869548661,0.975,0.975,0.25,4
17,0,static,object,173,48,32,32,0.9375,4641.96875,7125,7128,0.4712580963,0.375,32,0,0.4375,0.6512301838,0.9375,0.9375,0,1
17,0,static,object,174,49,19,19,0.8421052632,2983.368421,297,7128,0.325259735,0.2631578947,19,0.05789473684,0.3684210526,0.4185421466,0.8421052632,0.8421052632,0,1
17,0,static,object,175,5,942,942,0.6040339703,1146.529724,172,5752.6,0.09682352118,0.04140127389,682,0.2959660297,0.05626326964,0.1608487267,0.5513196481,0.6213156915,0.2214076246,9
17,0,static,object,176,50,19,19,1,6323.368421,7128,7128,0.03051342337,0,18,0,0.6842105263,0.8871167819,1,1,0.05555555556,2
17,0,static,object,177,51,29,29,1,6889.965517,7128,7128,0.1596778933,0.06896551724,29,0,0.8620689655,0.9666057123,1,1,0,1
17,0,static,object,178,52,28,28,0.7142857143,3927.928571,1866,7128,0.1911367627,0.1785714286,24,0.1857142857,0.2857142857,0.5510561969,0.7083333333,0.7430555556,0.125,3
17,0,static,object,179,53,38,38,1,5730.342105,7128,7128,0.3973239813,0.3421052632,33,0,0.5789473684,0.8039200484,1,1,0.1212121212,3
17,0,static,object,180,54,31,31,0.935483871,3262.677419,972,7128,0.3336686443,0.2903225806,31,0,0.3548387097,0.4577269107,0.935483871,0.935483871,0,1
17,0,static,object,181,55,19,19,1,5302.421053,6928,7128,0.4356378755,0.4210526316,19,0,0.3157894737,0.7438862307,1,1,0,1
17,0,static,object,182,56,20,20,1,5805,7128,7128,0.1542401975,0.1,20,0,0.6,0.8143939394,1,1,0,1
17,0,static,object,183,57,30,30,1,3611.666667,1846,7128,0.4527231456,0.3,30,0,0.2666666667,0.5066872428,1,1,0,1
17,0,static,object,184,58,29,29,1,5193.482759,7128,7128,0.2635329966,0.2413793103,29,0,0.6206896552,0.7286030806,1,1,0,1
17,0,static,object,185,59,34,34,0.9117647059,5384.676471,7128,7128,0.397577546,0.3529411765,30,0,0.6176470588,0.7554259919,0.9,0.9,0.1333333333,2
17,0,static,object,186,6,845,845,0.8378698225,1510.184615,18,7126,0.5852254616,0.474556213,748,0.06213017751,0.08875739645,0.2118665285,0.8221925134,0.8527183601,0.1189839572,3
17,0,static,object,187,60,33,33,0.9393939394,5005,7128,7128,0.2707392722,0.1818181818,30,0,0.5757575758,0.7021604938,0.9333333333,0.9333333333,0.1,2
17,0,static,object,188,61,19,19,1,5704.894737,7128,7128,0.4006883377,0.3157894737,19,0,0.7368421053,0.8003499911,1,1,0,1
17,0,static,object,189,62,33,33,0.9696969697,5464.272727,6280,7128,0.3129039615,0.1212121212,31,0,0.303030303,0.7665926946,0.9677419355,0.9677419355,0.03225806452,3
17,0,static,object,190,63,25,25,1,6206.64,7077,7128,0.286246339,0.2,21,0,0.44,0.8707407407,1,1,0.1428571429,3
17,0,static,object,191,64,17,17,0.8235294118,5111,7128,7128,0.04908775819,0,17,0.07647058824,0.5294117647,0.7170314254,0.8235294118,0.8235294118,0,1
17,0,static,object,192,65,29,29,1,6256.758621,7128,7128,0.4082597702,0.3793103448,28,0,0.7586206897,0.8777719726,1,1,0.03571428571,2
17,0,static,object,193,66,12,12,1,4308.666667,6878,7128,0.6416901562,0.5,12,0,0.3333333333,0.6044706322,1,1,0,1
17,0,static,object,194,67,19,19,1,6243.684211,7128,7128,0.2902180459,0.2105263158,19,0,0.6315789474,0.87593774,1,1,0,1
17,0,static,object,195,68,26,26,0.9615384615,3884.423077,5431,7128,0.5678460222,0.5,26,0,0.3076923077,0.5449527325,0.9615384615,0.9615384615,0,1
17,0,static,object,196,69,20,20,1,4189.1,6285,7128,0.4505037295,0.3,20,0,0.45,0.5876964085,1,1,0,1
17,0,static,object,197,7,793,793,0.8259773014,3112.457755,884,7128,0.1628002754,0.08827238335,729,0.07402269861,0.2206809584,0.4366523226,0.8230452675,0.8346593507,0.07270233196,5
17,0,static,object,198,70,19,19,1,3269.263158,745,7128,0.5658856067,0.4736842105,19,0,0.3157894737,0.4586508358,1,1,0,1
17,0,static,object,199,71,21,21,0.9523809524,5614.952381,7128,7128,0.4898778445,0.3333333333,21,0,0.5714285714,0.7877318155,0.9523809524,0.9523809524,0,1
17,0,static,object,200,72,23,23,1,6842.869565,7128,7128,0.1453659344,0.08695652174,19,0,0.9130434783,0.9599985361,1,1,0.2105263158,2
17,0,static,object,201,73,22,22,1,4326.636364,5397,7128,0.2566660399,0.1818181818,21,0,0.3181818182,0.6069916335,1,1,0.04761904762,2
17,0,static,object,202,74,20,20,0.95,4387.45,7128,7128,0.3554173749,0.25,19,0,0.6,0.6155232884,0.9473684211,0.9473684211,0.05263157895,2
17,0,static,object,203,75,14,14,1,5725.714286,7115.5,7128,0.589569161,0.4285714286,14,0,0.5,0.8032708033,1,1,0,1
