seed,deletion_rate,method,timestamp,threshold,threshold_units,pool_score_count,pool_span_blocks,label_row_count,unique_query_count,observed_label_coverage,full_set_coverage,partial_answer_recall,mean_size,median_size,p90_size,singleton_rate,full_vocabulary_set_rate
17,0,rank_rolling,315,2729,rank,1000,2,774,660,0.9018087855,0.8893939394,0.8996464646,2729,2729,2729,0,0
17,0,margin_static,316,14.88379383,score_margin,24874,46,758,622,0.8522427441,0.847266881,0.8744908896,3168.249196,1294.5,7128,0.02733118971,0.2379421222
17,0,margin_rolling,316,19.05775833,score_margin,1000,2,758,622,0.9182058047,0.9131832797,0.9329046088,4585.302251,6976,7128,0.004823151125,0.3665594855
17,0,rank_static,316,3547,rank,24874,46,758,622,0.9182058047,0.9003215434,0.9011254019,3547,3547,3547,0,0
17,0,rank_expanding,316,3557,rank,24874,46,758,622,0.9182058047,0.9003215434,0.9011254019,3557,3557,3557,0,0
17,0,rank_rolling,316,2729,rank,1000,2,758,622,0.8970976253,0.8745980707,0.8770096463,2729,2729,2729,0,0
17,0,margin_static,317,14.88379383,score_margin,25632,47,630,559,0.8380952381,0.8354203936,0.8580202743,2428.681574,321,7128,0.02862254025,0.1932021467
17,0,margin_rolling,317,17.81591392,score_margin,1000,2,630,559,0.8873015873,0.8890876565,0.9090041741,3396.966011,2053,7128,0.01610017889,0.2647584973
17,0,rank_static,317,3547,rank,25632,47,630,559,0.8936507937,0.8801431127,0.8879248658,3547,3547,3547,0,0
17,0,rank_expanding,317,3542,rank,25632,47,630,559,0.8936507937,0.8801431127,0.8879248658,3542,3542,3542,0,0
17,0,rank_rolling,317,2893,rank,1000,2,630,559,0.8857142857,0.8711985689,0.8810673822,2893,2893,2893,0,0
17,0,margin_static,318,14.88379383,score_margin,26262,48,342,308,0.8362573099,0.8409090909,0.8636363636,2500.175325,223.5,7128,0.02597402597,0.2012987013
17,0,margin_rolling,318,19.09903145,score_margin,1000,2,342,308,0.9152046784,0.9123376623,0.9285714286,3619.321429,4177,7128,0.00974025974,0.3116883117
17,0,rank_static,318,3547,rank,26262,48,342,308,0.9005847953,0.8896103896,0.8933982684,3547,3547,3547,0,0
17,0,rank_expanding,318,3545,rank,26262,48,342,308,0.9005847953,0.8896103896,0.8933982684,3545,3545,3545,0,0
17,0,rank_rolling,318,3490,rank,1000,2,342,308,0.9005847953,0.8896103896,0.8933982684,3490,3490,3490,0,0
17,0,margin_static,319,14.88379383,score_margin,26604,49,324,290,0.8641975309,0.8482758621,0.8586206897,2563.355172,368,7128,0.03103448276,0.1965517241
17,0,margin_rolling,319,18.77629185,score_margin,1000,3,324,290,0.9197530864,0.9103448276,0.9189655172,3712.968966,4327,7128,0.01379310345,0.2965517241
17,0,rank_static,319,3547,rank,26604,49,324,290,0.9259259259,0.9172413793,0.9172413793,3547,3547,3547,0,0
17,0,rank_expanding,319,3545,rank,26604,49,324,290,0.9259259259,0.9172413793,0.9172413793,3545,3545,3545,0,0
17,0,rank_rolling,319,3677,rank,1000,3,324,290,0.9290123457,0.9206896552,0.9206896552,3677,3677,3677,0,0
17,0,margin_static,320,14.88379383,score_margin,26928,50,736,646,0.8288043478,0.8390092879,0.8521327829,3140.280186,926,7128,0.02941176471,0.2507739938
17,0,margin_rolling,320,18.65745962,score_margin,1000,3,736,646,0.8967391304,0.907120743,0.9153938768,4180.125387,6763,7128,0.01393188854,0.3854489164
17,0,rank_static,320,3547,rank,26928,50,736,646,0.9035326087,0.8916408669,0.8964912281,3547,3547,3547,0,0
17,0,rank_expanding,320,3531,rank,26928,50,736,646,0.9035326087,0.8916408669,0.8964912281,3531,3531,3531,0,0
17,0,rank_rolling,320,3354,rank,1000,3,736,646,0.8980978261,0.8854489164,0.8902992776,3354,3354,3354,0,0
17,0,margin_static,321,14.88379383,score_margin,27664,51,680,603,0.8514705882,0.8424543947,0.8595909342,2957.155887,849,7128,0.03648424544,0.2089552239
17,0,margin_rolling,321,18.42174265,score_margin,1000,2,680,603,0.9220588235,0.9154228856,0.9259259259,4151.38806,6423,7128,0.01160862355,0.3366500829
17,0,rank_static,321,3547,rank,27664,51,680,603,0.9117647059,0.9004975124,0.903814262,3547,3547,3547,0,0
17,0,rank_expanding,321,3529,rank,27664,51,680,603,0.9117647059,0.9004975124,0.903814262,3529,3529,3529,0,0
17,0,rank_rolling,321,3085,rank,1000,2,680,603,0.8970588235,0.8839137645,0.8880597015,3085,3085,3085,0,0
17,0,margin_static,322,14.88379383,score_margin,28344,52,668,595,0.8443113772,0.8420168067,0.8577030812,3074.341176,992,7128,0.0268907563,0.2336134454
17,0,margin_rolling,322,18.3113308,score_margin,1000,2,668,595,0.9221556886,0.9226890756,0.9308123249,4135.090756,6575,7128,0.01008403361,0.3512605042
17,0,rank_static,322,3547,rank,28344,52,668,595,0.8907185629,0.8806722689,0.881512605,3547,3547,3547,0,0
17,0,rank_expanding,322,3516,rank,28344,52,668,595,0.8907185629,0.8806722689,0.881512605,3516,3516,3516,0,0
17,0,rank_rolling,322,3169,rank,1000,2,668,595,0.878742515,0.8672268908,0.8680672269,3169,3169,3169,0,0
17,0,margin_static,323,14.88379383,score_margin,29012,53,668,600,0.8173652695,0.8133333333,0.8372222222,2917.195,922,7128,0.02833333333,0.21
17,0,margin_rolling,323,17.26950002,score_margin,1000,2,668,600,0.875748503,0.8733333333,0.8947222222,3786.566667,5013.5,7128,0.015,0.265
17,0,rank_static,323,3547,rank,29012,53,668,600,0.8982035928,0.89,0.8925,3547,3547,3547,0,0
17,0,rank_expanding,323,3529,rank,29012,53,668,600,0.8982035928,0.89,0.8925,3529,3529,3529,0,0
17,0,rank_rolling,323,3585,rank,1000,2,668,600,0.8997005988,0.8916666667,0.8941666667,3585,3585,3585,0,0
17,0,margin_static,324,14.88379383,score_margin,29680,54,796,650,0.7977386935,0.8046153846,0.844974359,2977.998462,600.5,7128,0.02615384615,0.2046153846
17,0,margin_rolling,324,18.56366777,score_margin,1000,2,796,650,0.8894472362,0.8907692308,0.9197948718,4007.513846,6251,7128,0.01230769231,0.3353846154
17,0,rank_static,324,3547,rank,29680,54,796,650,0.9158291457,0.8969230769,0.9082051282,3547,3547,3547,0,0
17,0,rank_expanding,324,3529,rank,29680,54,796,650,0.9133165829,0.8938461538,0.9058974359,3529,3529,3529,0,0
17,0,rank_rolling,324,3809,rank,1000,2,796,650,0.9283919598,0.9123076923,0.9207692308,3809,3809,3809,0,0
17,0,margin_static,325,14.88379383,score_margin,30476,55,398,360,0.7688442211,0.7805555556,0.7921296296,2717.516667,271.5,7128,0.06666666667,0.2388888889
17,0,margin_rolling,325,18.85798836,score_margin,1000,2,398,360,0.8969849246,0.8916666667,0.9009259259,3628.333333,3689.5,7128,0.01944444444,0.3583333333
17,0,rank_static,325,3547,rank,30476,55,398,360,0.8944723618,0.8833333333,0.8847222222,3547,3547,3547,0,0
17,0,rank_expanding,325,3512,rank,30476,55,398,360,0.891959799,0.8805555556,0.8819444444,3512,3512,3512,0,0
17,0,rank_rolling,325,2884,rank,1000,2,398,360,0.8718592965,0.8583333333,0.8638888889,2884,2884,2884,0,0
17,0,margin_static,326,14.88379383,score_margin,30874,56,422,348,0.7701421801,0.7787356322,0.804717433,2234.597701,173,7128,0.04597701149,0.1494252874
17,0,margin_rolling,326,18.47715044,score_margin,1000,2,422,348,0.8767772512,0.8649425287,0.8846982759,3082.772989,857.5,7128,0.01724137931,0.2528735632
17,0,rank_static,326,3547,rank,30874,56,422,348,0.9573459716,0.9511494253,0.9540229885,3547,3547,3547,0,0
17,0,rank_expanding,326,3516,rank,30874,56,422,348,0.9573459716,0.9511494253,0.9540229885,3516,3516,3516,0,0
17,0,rank_rolling,326,3227,rank,1000,2,422,348,0.9549763033,0.9482758621,0.9511494253,3227,3227,3227,0,0
17,0,margin_static,327,14.88379383,score_margin,31296,57,738,621,0.8021680217,0.8164251208,0.8447396672,2839.022544,411,7128,0.03703703704,0.2222222222
17,0,margin_rolling,327,19.39013481,score_margin,1000,3,738,621,0.9078590786,0.9082125604,0.9344873859,4034.191626,6170,7128,0.009661835749,0.3703703704
17,0,rank_static,327,3547,rank,31296,57,738,621,0.9078590786,0.8937198068,0.8998389694,3547,3547,3547,0,0
17,0,rank_expanding,327,3497,rank,31296,57,738,621,0.9078590786,0.8937198068,0.8998389694,3497,3497,3497,0,0
17,0,rank_rolling,327,2415,rank,1000,3,738,621,0.8848238482,0.8663446055,0.8735373054,2415,2415,2415,0,0
