seed,deletion_rate,method,query_count,coverage,macro_time_coverage,positive_undercoverage,fraction_timestamps_below_target,mean_size,median_size,p90_size
17,0.1,time_window_7,38596,0.8926831796,0.8932502246,0.01126855846,0.6575342466,3560.995414,3320.945227,7128
29,0.1,time_window_7,38596,0.8933309151,0.8939012263,0.01037605217,0.6849315068,3530.251684,3146.192714,7128
43,0.1,time_window_7,38596,0.8927609079,0.8938794389,0.01086605936,0.6438356164,3502.614494,2968.641517,7128
59,0.1,time_window_7,38596,0.8930718209,0.893705715,0.01174783206,0.6849315068,3266.094051,1679.237848,7128
71,0.1,time_window_7,38596,0.8926572702,0.8933709824,0.01107703681,0.6438356164,3404.279589,2249.23619,7128
17,0.1,time_window_14,38596,0.8876826614,0.8882433631,0.01491567596,0.7260273973,3467.53604,2757.646596,7128
29,0.1,time_window_14,38596,0.8878381179,0.888158661,0.01438729174,0.7534246575,3433.522852,2555.587574,7128
43,0.1,time_window_14,38596,0.8874753861,0.8881086507,0.01507781018,0.7671232877,3409.268292,2369.701783,7128
59,0.1,time_window_14,38596,0.8872422013,0.8879953912,0.01569602696,0.7123287671,3166.44458,1252.1745,7128
71,0.1,time_window_14,38596,0.8864130998,0.8867295744,0.0162071228,0.7397260274,3306.485776,1774.562545,7128
17,0.1,time_window_30,38596,0.8755052337,0.8754995312,0.02557665019,0.9315068493,3259.886361,1579.40727,7128
29,0.1,time_window_30,38596,0.8761011504,0.87602408,0.02517088715,0.904109589,3242.648513,1523.507436,7128
43,0.1,time_window_30,38596,0.8752202301,0.8748886319,0.02619161316,0.904109589,3207.640015,1410.288527,7128
59,0.1,time_window_30,38596,0.8743652192,0.8741709859,0.02728384321,0.904109589,2977.438361,843.6125764,7128
71,0.1,time_window_30,38596,0.8748056793,0.874307135,0.02672465361,0.8630136986,3120.835812,1228.204348,7128
17,0.2,static,38596,0.8194631568,0.8154095522,0.08479446994,0.9863013699,2613.015701,541.6492642,7128
29,0.2,static,38596,0.8264068815,0.8229388642,0.07706113576,1,2811.526246,880.3482226,7128
43,0.2,static,38596,0.8092548451,0.8049860089,0.09501399109,1,2425.68476,360.8506063,7127.975723
59,0.2,static,38596,0.8147735517,0.8099716324,0.09010747819,0.9863013699,2553.83006,503.9803088,7128
71,0.2,static,38596,0.816949943,0.8134231398,0.08657686018,1,2528.651078,480.3061716,7128
17,0.2,expanding,38596,0.8581718313,0.8570906678,0.04325895825,0.9726027397,3065.181185,1135.433853,7128
