seed,deletion_rate,method,timestamp,query_count,threshold,pool_score_count,pool_span_blocks,selected_half_life,coverage,mean_size,median_size,p90_size,extra_delay_blocks
17,0,static,311,438,14.88379383,18096,41,,0.8561643836,2261.034247,195.5,7128,7
17,0,rolling,311,438,16.8095347,1000,9,,0.899543379,2793.739726,500.5,7128,7
17,0,static,312,460,14.88379383,22168,42,,0.8260869565,2116.504348,176.5,7128,0
17,0,rolling,312,460,16.40095425,1000,2,,0.8673913043,2580.363043,345,7128,0
17,0,static,312,460,14.88379383,21730,42,,0.8260869565,2116.504348,176.5,7128,1
17,0,rolling,312,460,16.87587738,1000,3,,0.8826086957,2745.413043,412,7128,1
17,0,static,312,460,14.88379383,20484,42,,0.8260869565,2116.504348,176.5,7128,3
17,0,rolling,312,460,18.1419684,1000,5,,0.902173913,3186.247826,726.5,7128,3
17,0,static,312,460,14.88379383,18424,42,,0.8260869565,2116.504348,176.5,7128,7
17,0,rolling,312,460,17.95536423,1000,10,,0.9,3125.045652,662,7128,7
17,0,static,313,794,14.88379383,22628,43,,0.8476070529,2354.982368,190.5,7128,0
17,0,rolling,313,794,17.4004364,1000,3,,0.8967254408,3049.808564,648,7128,0
17,0,static,313,794,14.88379383,22168,43,,0.8476070529,2354.982368,190.5,7128,1
17,0,rolling,313,794,16.40095425,1000,3,,0.8765743073,2757.764484,394,7128,1
17,0,static,313,794,14.88379383,21110,43,,0.8476070529,2354.982368,190.5,7128,3
17,0,rolling,313,794,17.70560127,1000,5,,0.9055415617,3137.109572,744,7128,3
17,0,static,313,794,14.88379383,18752,43,,0.8476070529,2354.982368,190.5,7128,7
17,0,rolling,313,794,17.18708611,1000,10,,0.8942065491,2990.453401,569.5,7128,7
17,0,static,314,678,14.88379383,23422,44,,0.8569321534,2610.240413,310.5,7128,0
17,0,rolling,314,678,17.77472782,1000,2,,0.8997050147,3436.085546,2038.5,7128,0
17,0,static,314,678,14.88379383,22628,44,,0.8569321534,2610.240413,310.5,7128,1
17,0,rolling,314,678,17.4004364,1000,4,,0.8923303835,3324.033923,1396.5,7128,1
17,0,static,314,678,14.88379383,21730,44,,0.8569321534,2610.240413,310.5,7128,3
17,0,rolling,314,678,16.87587738,1000,5,,0.883480826,3180.228614,893,7128,3
17,0,static,314,678,14.88379383,19334,44,,0.8569321534,2610.240413,310.5,7128,7
17,0,rolling,314,678,17.34167004,1000,10,,0.8923303835,3303.775811,1343.5,7128,7
17,0,static,315,774,14.88379383,24100,45,,0.8410852713,2536.711886,372,7128,0
17,0,rolling,315,774,18.27017021,1000,2,,0.8914728682,3581.959948,3873.5,7128,0
17,0,static,315,774,14.88379383,23422,45,,0.8410852713,2536.711886,372,7128,1
17,0,rolling,315,774,17.77472782,1000,3,,0.8863049096,3458.900517,1958,7128,1
17,0,static,315,774,14.88379383,22168,45,,0.8410852713,2536.711886,372,7128,3
17,0,rolling,315,774,16.40095425,1000,5,,0.8708010336,3044.931525,938,7128,3
17,0,static,315,774,14.88379383,19922,45,,0.8410852713,2536.711886,372,7128,7
17,0,rolling,315,774,17.65591836,1000,9,,0.8863049096,3420.598191,1850.5,7128,7
17,0,static,316,758,14.88379383,24874,46,,0.8522427441,2739.186016,786,7128,0
17,0,rolling,316,758,19.05775833,1000,2,,0.9182058047,4165.57124,6255.5,7128,0
17,0,static,316,758,14.88379383,24100,46,,0.8522427441,2739.186016,786,7128,1
17,0,rolling,316,758,18.27017021,1000,3,,0.9129287599,3960.118734,5486,7128,1
